Edge,TimeStartEdge,Distance,Accidents
271725,8.00,496,0
221697,13.15,248,0
319342,13.17,62,1
435427,16.03,66,0
183531,3.00,42,0
367248,3.05,220,0
209189,3.13,85,0
248836,3.15,106,0
393642,3.15,86,0
11535,10.07,82,0
6280,10.10,73,0
272664,18.02,86,1
16625,13.00,25,0
19779,13.22,3379,0
168,13.27,7265,0
458096,23.12,148,0
329121,23.22,917,0
27217,23.32,7179,0
50943,23.42,5961,0
50945,23.48,269,0
26386,23.50,5750,0
50866,23.65,41,0
23894,10.22,192,0
23633,10.33,551,0
473696,10.55,92,0
260381,16.45,254,0
392973,16.50,379,0
48179,10.12,52,0
180138,10.20,60,0
269722,18.23,29,0
269718,18.25,87,0
6915,18.27,28,0
341524,16.03,161,0
66773,16.17,48,0
2046,21.00,206,0
13978,21.00,104,0
395033,7.10,51,0
357535,7.17,371,1
433881,7.22,79,0
14983,13.23,42,0
91413,10.17,63,0
244994,10.30,15,0
257166,9.18,87,0
392516,9.25,101,0
241123,9.33,37,0
1512,18.18,51,0
258072,18.32,404,0
189263,1.02,33,0
8138,1.10,114,1
182397,1.15,74,0
204204,8.13,38,0
204198,8.13,60,0
330096,8.18,141,0
371603,8.35,75,0
243353,12.12,60,0
11517,20.00,252,0
187954,20.10,2095,0
178161,8.02,459,0
127210,8.22,8,0
414420,15.02,43,0
341523,15.05,88,0
127207,15.25,46,0
54652,13.02,72,0
294958,9.05,29,0
87147,9.38,11,0
215243,18.15,51,0
414729,18.25,159,0
99164,11.00,111,0
59190,11.33,924,0
118968,11.42,274,0
274946,11.47,104,0
394093,21.30,239,0
99170,21.55,191,0
19737,18.00,16,0
12213,18.02,44,0
347552,9.13,92,0
403125,9.25,63,0
404577,21.13,421,0
292325,21.18,818,0
213887,9.03,42,0
277117,9.05,91,0
469559,17.15,66,0
8287,8.05,409,0
8288,8.05,256,0
424275,13.03,84,1
378672,18.20,378,0
427223,18.22,43,0
280797,18.27,91,0
364137,18.30,63,0
181785,9.08,197,0
269100,9.02,47,0
271938,9.18,311,0
2304,9.23,72,0
214599,19.17,88,0
154483,8.03,58,0
56698,8.17,2343,0
36097,12.08,195,0
56165,12.15,552,0
276156,18.00,184,0
18623,18.07,323,0
401333,18.07,393,1
53455,18.15,3072,0
173559,18.20,2439,0
54092,18.25,446,0
54093,18.25,1561,0
54094,18.27,1420,0
22799,1.03,113,0
404177,1.05,43,0
15550,1.12,3081,0
51674,1.23,1461,0
54085,1.25,3218,0
173557,1.32,1286,1
470234,1.33,2965,0
119683,10.07,118,0
247586,10.10,239,0
459597,10.25,355,0
462191,10.42,487,0
200074,10.50,201,0
350835,22.17,2401,0
448924,15.03,12,0
448775,15.03,152,0
185200,13.00,127,0
214880,13.02,246,0
240228,11.22,1123,0
